,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,2009-01-30,65.0235,-0.0821,0.04566943157327435,2221.3889,0.19888551692302658,4029.6895,1808.3006,0.4487,,65.0235,-0.0821,0.0348176464691357,3011.5595,0.18679696906197973,4311.6726,1300.1131,0.3015
1,2009-02-27,58.0368,-0.1074,,1982.7029,,4029.6895,2046.9866,0.508,,58.0368,0.0,,3011.5595,,4311.6726,1300.1131,0.3015
2,2009-03-31,62.8819,0.0835,,2148.2274,,4029.6895,1881.4621,0.4669,,62.8819,0.0,,3011.5595,,4311.6726,1300.1131,0.3015
3,2009-04-30,69.129,0.0993,,2361.6454,,4029.6895,1668.0441,0.4139,,69.129,0.0993,,3310.7462,,4311.6726,1000.9264,0.2321
4,2009-05-29,73.1698,0.0585,,2499.6917,,4029.6895,1529.9978,0.3797,,73.1698,0.0585,,3504.2707,,4311.6726,807.4019,0.1873
5,2009-06-30,73.1205,-0.0007,,2498.0082,,4029.6895,1531.6813,0.3801,,73.1205,-0.0007,,3501.9106,,4311.6726,809.762,0.1878
6,2009-07-31,78.5758,0.0746,,2684.374,,4029.6895,1345.3155,0.3339,,78.5758,0.0746,,3763.1734,,4311.6726,548.4992,0.1272
7,2009-08-31,81.4783,0.0369,,2783.5337,,4029.6895,1246.1558,0.3092,,81.4783,0.0369,,3902.1835,,4311.6726,409.4891,0.095
8,2009-09-30,84.3673,0.0355,,2882.2301,,4029.6895,1147.4594,0.2848,,84.3673,0.0355,,4040.5441,,4311.6726,271.1285,0.0629
9,2009-10-30,82.7453,-0.0192,,2826.8184,,4029.6895,1202.8711,0.2985,,82.7453,-0.0192,,3962.8634,,4311.6726,348.8092,0.0809
10,2009-11-30,87.843,0.0616,,3000.9696,,4029.6895,1028.7199,0.2553,,87.843,0.0616,,4207.0027,,4311.6726,104.6699,0.0243
11,2009-12-31,89.5183,0.0191,,3058.2041,,4029.6895,971.4854,0.2411,,89.5183,0.0191,,4287.2387,,4311.6726,24.4339,0.0057
12,2010-01-29,86.265,-0.0363,,2947.0616,,4029.6895,1082.6279,0.2687,,86.265,-0.0363,,4131.4301,,4311.6726,180.2425,0.0418
13,2010-02-26,88.956,0.0312,,3038.9943,,4029.6895,990.6952,0.2458,,88.956,0.0312,,4260.3088,,4311.6726,51.3638,0.0119
14,2010-03-31,94.3739,0.0609,,3224.085,,4029.6895,805.6045,0.1999,,94.3739,0.0609,,4519.784,,4519.784,0.0,0.0
15,2010-04-30,95.8339,0.0155,,3273.9618,,4029.6895,755.7277,0.1875,,95.8339,0.0155,,4589.7054,,4589.7054,-0.0,-0.0
16,2010-05-31,88.2195,-0.0795,,3013.8305,,4029.6895,1015.859,0.2521,,88.2195,-0.0795,,4225.0323,,4589.7054,364.6731,0.0795
17,2010-06-30,83.6547,-0.0517,,2857.8844,,4029.6895,1171.8051,0.2908,,83.6547,0.0,,4225.0323,,4589.7054,364.6731,0.0795
18,2010-07-30,89.3683,0.0683,,3053.08,,4029.6895,976.6095,0.2424,,89.3683,0.0,,4225.0323,,4589.7054,364.6731,0.0795
19,2010-08-31,85.3485,-0.045,,2915.7509,,4029.6895,1113.9386,0.2764,,85.3485,-0.045,,4034.9882,,4589.7054,554.7172,0.1209
20,2010-09-30,92.9918,0.0896,,3176.8674,,4029.6895,852.8221,0.2116,,92.9918,0.0,,4034.9882,,4589.7054,554.7172,0.1209
21,2010-10-29,96.5443,0.0382,,3298.2303,,4029.6895,731.4592,0.1815,,96.5443,0.0382,,4189.133,,4589.7054,400.5724,0.0873
22,2010-11-30,96.5443,0.0,,3298.2303,,4029.6895,731.4592,0.1815,,96.5443,0.0,,4189.133,,4589.7054,400.5724,0.0873
23,2010-12-31,102.9977,0.0668,,3518.698,,4029.6895,510.9915,0.1268,,102.9977,0.0668,,4469.1524,,4589.7054,120.553,0.0263
24,2011-01-31,105.3976,0.0233,,3600.6844,,4029.6895,429.0051,0.1065,,105.3976,0.0233,,4573.2846,,4589.7054,16.4208,0.0036
25,2011-02-28,109.0588,0.0347,,3725.7625,,4029.6895,303.927,0.0754,,109.0588,0.0347,,4732.1483,,4732.1483,0.0,0.0
26,2011-03-31,109.0705,0.0001,,3726.1609,,4029.6895,303.5286,0.0753,,109.0705,0.0001,,4732.6543,,4732.6543,-0.0,-0.0
27,2011-04-29,112.2293,0.029,,3834.076,,4029.6895,195.6135,0.0485,,112.2293,0.029,,4869.7189,,4869.7189,-0.0,-0.0
28,2011-05-31,110.9707,-0.0112,,3791.0786,,4029.6895,238.6109,0.0592,,110.9707,-0.0112,,4815.1072,,4869.7189,54.6117,0.0112
29,2011-06-30,109.0967,-0.0169,,3727.0581,,4029.6895,302.6314,0.0751,,109.0967,-0.0169,,4733.7938,,4869.7189,135.9251,0.0279
30,2011-07-29,106.9143,-0.02,,3652.5,,4029.6895,377.1895,0.0936,,106.9143,-0.02,,4639.0964,,4869.7189,230.6225,0.0474
31,2011-08-31,101.0366,-0.055,,3451.7015,,4029.6895,577.988,0.1434,,101.0366,0.0,,4639.0964,,4869.7189,230.6225,0.0474
32,2011-09-30,94.0197,-0.0694,,3211.9833,,4029.6895,817.7062,0.2029,,94.0197,0.0,,4639.0964,,4869.7189,230.6225,0.0474
33,2011-10-31,104.2817,0.1091,,3562.5621,,4029.6895,467.1274,0.1159,,104.2817,0.0,,4639.0964,,4869.7189,230.6225,0.0474
34,2011-11-30,103.8579,-0.0041,,3548.0848,,4029.6895,481.6047,0.1195,,103.8579,-0.0041,,4620.2443,,4869.7189,249.4746,0.0512
35,2011-12-30,104.9422,0.0104,,3585.1268,,4029.6895,444.5627,0.1103,,104.9422,0.0,,4620.2443,,4869.7189,249.4746,0.0512
36,2012-01-31,109.8088,0.0464,,3751.3852,,4029.6895,278.3043,0.0691,,109.8088,0.0464,,4834.5059,,4869.7189,35.213,0.0072
37,2012-02-29,114.5751,0.0434,,3914.2157,,4029.6895,115.4738,0.0287,,114.5751,0.0434,,5044.3496,,5044.3496,-0.0,-0.0
38,2012-03-30,118.2595,0.0322,,4040.0842,,4040.0842,-0.0,-0.0,,118.2595,0.0322,,5206.5596,,5206.5596,-0.0,-0.0
39,2012-04-30,117.47,-0.0067,,4013.114,,4040.0842,26.9702,0.0067,,117.47,-0.0067,,5171.8024,,5206.5596,34.7572,0.0067
40,2012-05-31,110.4153,-0.0601,,3772.1034,,4040.0842,267.9808,0.0663,,110.4153,-0.0601,,4861.2059,,5206.5596,345.3537,0.0663
41,2012-06-29,114.8903,0.0405,,3924.9821,,4040.0842,115.1021,0.0285,,114.8903,0.0405,,5058.2245,,5206.5596,148.3351,0.0285
42,2012-07-31,116.2494,0.0118,,3971.4128,,4040.0842,68.6714,0.017,,116.2494,0.0118,,5118.061,,5206.5596,88.4986,0.017
43,2012-08-31,119.1617,0.0251,,4070.9072,,4070.9072,0.0,0.0,,119.1617,0.0251,,5246.282,,5246.282,0.0,0.0
44,2012-09-28,122.1832,0.0254,,4174.1304,,4174.1304,0.0,0.0,,122.1832,0.0254,,5379.3083,,5379.3083,-0.0,-0.0
45,2012-10-31,119.9597,-0.0182,,4098.1686,,4174.1304,75.9618,0.0182,,119.9597,-0.0182,,5281.4144,,5379.3083,97.8939,0.0182
46,2012-11-30,120.6386,0.0057,,4121.363,,4174.1304,52.7674,0.0126,,120.6386,0.0057,,5311.3057,,5379.3083,68.0026,0.0126
47,2012-12-31,121.7242,0.009,,4158.4484,,4174.1304,15.682,0.0038,,121.7242,0.009,,5359.0985,,5379.3083,20.2098,0.0038
48,2013-01-31,127.9553,0.0512,,4371.3203,,4371.3203,0.0,0.0,,127.9553,0.0512,,5633.4319,,5633.4319,-0.0,-0.0
49,2013-02-28,129.5878,0.0128,,4427.0933,,4427.0933,0.0,0.0,,129.5878,0.0128,,5705.3081,,5705.3081,0.0,0.0
50,2013-03-29,134.509,0.038,,4595.2142,,4595.2142,0.0,0.0,,134.509,0.038,,5921.9698,,5921.9698,0.0,0.0
51,2013-04-30,137.0932,0.0192,,4683.4991,,4683.4991,0.0,0.0,,137.0932,0.0192,,6035.7448,,6035.7448,0.0,0.0
52,2013-05-31,140.3299,0.0236,,4794.0752,,4794.0752,0.0,0.0,,140.3299,0.0236,,6178.247,,6178.247,-0.0,-0.0
53,2013-06-28,138.4551,-0.0134,,4730.0244,,4794.0752,64.0508,0.0134,,138.4551,-0.0134,,6095.7031,,6178.247,82.5439,0.0134
54,2013-07-31,145.61,0.0517,,4974.4571,,4974.4571,-0.0,-0.0,,145.61,0.0517,,6410.7098,,6410.7098,-0.0,-0.0
55,2013-08-30,141.2428,-0.03,,4825.2618,,4974.4571,149.1953,0.03,,141.2428,-0.03,,6218.4379,,6410.7098,192.2719,0.03
56,2013-09-30,145.7176,0.0317,,4978.1324,,4978.1324,-0.0,-0.0,,145.7176,0.0317,,6415.4463,,6415.4463,0.0,0.0
57,2013-10-31,152.4653,0.0463,,5208.6537,,5208.6537,0.0,0.0,,152.4653,0.0463,,6712.5249,,6712.5249,0.0,0.0
58,2013-11-29,156.984,0.0296,,5363.0258,,5363.0258,-0.0,-0.0,,156.984,0.0296,,6911.4682,,6911.4682,-0.0,-0.0
