,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,2015-01-30,177.3157,-0.0296,0.035765101945705036,6057.6166,0.12239650256313994,6258.6027,200.9861,0.0321,,177.3157,-0.0296,0.032025721583443564,7806.605,0.10421371438103577,8065.6209,259.0159,0.0321
1,2015-02-27,187.2817,0.0562,,6398.0822,,6398.0822,-0.0,-0.0,,187.2817,0.0562,,8245.3718,,8245.3718,-0.0,-0.0
2,2015-03-31,184.333,-0.0157,,6297.3458,,6398.0822,100.7364,0.0157,,184.333,-0.0157,,8115.5502,,8245.3718,129.8216,0.0157
3,2015-04-30,186.1457,0.0098,,6359.2729,,6398.0822,38.8093,0.0061,,186.1457,0.0098,,8195.3572,,8245.3718,50.0146,0.0061
4,2015-05-29,188.5388,0.0129,,6441.0289,,6441.0289,0.0,0.0,,188.5388,0.0129,,8300.7183,,8300.7183,0.0,0.0
5,2015-06-30,184.7491,-0.0201,,6311.5625,,6441.0289,129.4664,0.0201,,184.7491,-0.0201,,8133.8716,,8300.7183,166.8467,0.0201
6,2015-07-31,188.8409,0.0221,,6451.3494,,6451.3494,0.0,0.0,,188.8409,0.0221,,8314.0186,,8314.0186,0.0,0.0
7,2015-08-31,177.2565,-0.0613,,6055.5931,,6451.3494,395.7563,0.0613,,177.2565,-0.0613,,7803.9973,,8314.0186,510.0213,0.0613
8,2015-09-30,172.8269,-0.025,,5904.2641,,6451.3494,547.0853,0.0848,,172.8269,0.0,,7803.9973,,8314.0186,510.0213,0.0613
9,2015-10-30,187.5666,0.0853,,6407.8169,,6451.3494,43.5325,0.0067,,187.5666,0.0,,7803.9973,,8314.0186,510.0213,0.0613
10,2015-11-30,188.2522,0.0037,,6431.238,,6451.3494,20.1114,0.0031,,188.2522,0.0037,,7832.5215,,8314.0186,481.4971,0.0579
11,2015-12-31,185.0182,-0.0172,,6320.7544,,6451.3494,130.595,0.0202,,185.0182,-0.0172,,7697.9649,,8314.0186,616.0537,0.0741
12,2016-01-29,175.8068,-0.0498,,6006.0653,,6451.3494,445.2841,0.069,,175.8068,0.0,,7697.9649,,8314.0186,616.0537,0.0741
13,2016-02-29,175.6616,-0.0008,,6001.1046,,6451.3494,450.2448,0.0698,,175.6616,0.0,,7697.9649,,8314.0186,616.0537,0.0741
14,2016-03-31,187.4735,0.0672,,6404.6341,,6451.3494,46.7153,0.0072,,187.4735,0.0672,,8215.5956,,8314.0186,98.423,0.0118
15,2016-04-29,188.2124,0.0039,,6429.8761,,6451.3494,21.4733,0.0033,,188.2124,0.0039,,8247.975,,8314.0186,66.0436,0.0079
16,2016-05-31,191.4141,0.017,,6539.2583,,6539.2583,-0.0,-0.0,,191.4141,0.017,,8388.2859,,8388.2859,0.0,0.0
17,2016-06-30,192.0836,0.0035,,6562.1289,,6562.1289,0.0,0.0,,192.0836,0.0035,,8417.6232,,8417.6232,-0.0,-0.0
18,2016-07-29,199.0891,0.0365,,6801.458,,6801.458,0.0,0.0,,199.0891,0.0365,,8724.6245,,8724.6245,-0.0,-0.0
19,2016-08-31,199.3275,0.0012,,6809.603,,6809.603,0.0,0.0,,199.3275,0.0012,,8735.0726,,8735.0726,-0.0,-0.0
20,2016-09-30,199.3431,0.0001,,6810.1332,,6810.1332,0.0,0.0,,199.3431,0.0001,,8735.7527,,8735.7527,-0.0,-0.0
21,2016-10-31,195.887,-0.0173,,6692.0657,,6810.1332,118.0675,0.0173,,195.887,-0.0173,,8584.3007,,8735.7527,151.452,0.0173
22,2016-11-30,203.1032,0.0368,,6938.5907,,6938.5907,0.0,0.0,,203.1032,0.0368,,8900.5326,,8900.5326,-0.0,-0.0
23,2016-12-30,207.2228,0.0203,,7079.3273,,7079.3273,-0.0,-0.0,,207.2228,0.0203,,9081.0637,,9081.0637,-0.0,-0.0
24,2017-01-31,210.931,0.0179,,7206.0097,,7206.0097,-0.0,-0.0,,210.931,0.0179,,9243.5665,,9243.5665,-0.0,-0.0
25,2017-02-28,219.2188,0.0393,,7489.1449,,7489.1449,0.0,0.0,,219.2188,0.0393,,9606.7604,,9606.7604,-0.0,-0.0
26,2017-03-31,219.4946,0.0013,,7498.5669,,7498.5669,0.0,0.0,,219.4946,0.0013,,9618.8465,,9618.8465,-0.0,-0.0
27,2017-04-28,221.6733,0.0099,,7572.999,,7572.999,0.0,0.0,,221.6733,0.0099,,9714.3249,,9714.3249,-0.0,-0.0
28,2017-05-31,224.8018,0.0141,,7679.876,,7679.876,0.0,0.0,,224.8018,0.0141,,9851.4222,,9851.4222,-0.0,-0.0
29,2017-06-30,226.2347,0.0064,,7728.8299,,7728.8299,0.0,0.0,,226.2347,0.0064,,9914.2182,,9914.2182,-0.0,-0.0
30,2017-07-31,230.8848,0.0206,,7887.6895,,7887.6895,0.0,0.0,,230.8848,0.0206,,10117.9967,,10117.9967,-0.0,-0.0
31,2017-08-31,231.5584,0.0029,,7910.7034,,7910.7034,0.0,0.0,,231.5584,0.0029,,10147.518,,10147.518,0.0,0.0
32,2017-09-29,236.2222,0.0201,,8070.0324,,8070.0324,0.0,0.0,,236.2222,0.0201,,10351.8985,,10351.8985,0.0,0.0
33,2017-10-31,241.7886,0.0236,,8260.1951,,8260.1951,-0.0,-0.0,,241.7886,0.0236,,10595.8313,,10595.8313,0.0,0.0
34,2017-11-30,249.1791,0.0306,,8512.6748,,8512.6748,0.0,0.0,,249.1791,0.0306,,10919.7015,,10919.7015,-0.0,-0.0
35,2017-12-29,252.1908,0.0121,,8615.5653,,8615.5653,0.0,0.0,,252.1908,0.0121,,11051.6852,,11051.6852,0.0,0.0
36,2018-01-31,266.4041,0.0564,,9101.1311,,9101.1311,-0.0,-0.0,,266.4041,0.0564,,11674.5486,,11674.5486,-0.0,-0.0
37,2018-02-28,256.7175,-0.0364,,8770.2102,,9101.1311,330.9209,0.0364,,256.7175,-0.0364,,11250.0572,,11674.5486,424.4914,0.0364
38,2018-03-30,249.6795,-0.0274,,8529.7706,,9101.1311,571.3605,0.0628,,249.6795,-0.0274,,10941.6314,,11674.5486,732.9172,0.0628
