,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,1996-01-31,40.4791,0.0356,0.04578932779096045,1382.884,0.17177414898700039,1382.884,0.0,0.0,,40.4791,0.0356,0.04489218798825561,1382.884,0.1409151433242526,1382.884,0.0,0.0
1,1996-02-29,40.6083,0.0032,,1387.2973,,1387.2973,0.0,0.0,,40.6083,0.0032,,1387.2973,,1387.2973,0.0,0.0
2,1996-03-29,41.3079,0.0172,,1411.198,,1411.198,0.0,0.0,,41.3079,0.0172,,1411.198,,1411.198,0.0,0.0
3,1996-04-30,41.7569,0.0109,,1426.5366,,1426.5366,0.0,0.0,,41.7569,0.0109,,1426.5366,,1426.5366,0.0,0.0
4,1996-05-31,42.7048,0.0227,,1458.9196,,1458.9196,-0.0,-0.0,,42.7048,0.0227,,1458.9196,,1458.9196,-0.0,-0.0
5,1996-06-28,43.0795,0.0088,,1471.721,,1471.721,0.0,0.0,,43.0795,0.0088,,1471.721,,1471.721,0.0,0.0
6,1996-07-31,41.1437,-0.0449,,1405.5882,,1471.721,66.1328,0.0449,,41.1437,-0.0449,,1405.5882,,1471.721,66.1328,0.0449
7,1996-08-30,41.9361,0.0193,,1432.659,,1471.721,39.062,0.0265,,41.9361,0.0193,,1432.659,,1471.721,39.062,0.0265
8,1996-09-30,44.2784,0.0559,,1512.677,,1512.677,0.0,0.0,,44.2784,0.0559,,1512.677,,1512.677,0.0,0.0
9,1996-10-31,45.7099,0.0323,,1561.583,,1561.583,0.0,0.0,,45.7099,0.0323,,1561.583,,1561.583,0.0,0.0
10,1996-11-29,49.047,0.073,,1675.5855,,1675.5855,0.0,0.0,,49.047,0.073,,1675.5855,,1675.5855,0.0,0.0
11,1996-12-31,47.9046,-0.0233,,1636.5583,,1675.5855,39.0272,0.0233,,47.9046,-0.0233,,1636.5583,,1675.5855,39.0272,0.0233
12,1997-01-31,50.8644,0.0618,,1737.6745,,1737.6745,-0.0,-0.0,,50.8644,0.0618,,1737.6745,,1737.6745,-0.0,-0.0
13,1997-02-28,51.3509,0.0096,,1754.2964,,1754.2964,0.0,0.0,,51.3509,0.0096,,1754.2964,,1754.2964,0.0,0.0
14,1997-03-31,49.0845,-0.0441,,1676.8691,,1754.2964,77.4273,0.0441,,49.0845,-0.0441,,1676.8691,,1754.2964,77.4273,0.0441
15,1997-04-30,52.1574,0.0626,,1781.846,,1781.846,-0.0,-0.0,,52.1574,0.0626,,1781.846,,1781.846,-0.0,-0.0
16,1997-05-30,55.4541,0.0632,,1894.4715,,1894.4715,-0.0,-0.0,,55.4541,0.0632,,1894.4715,,1894.4715,-0.0,-0.0
17,1997-06-30,57.7342,0.0411,,1972.3653,,1972.3653,0.0,0.0,,57.7342,0.0411,,1972.3653,,1972.3653,0.0,0.0
