,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,1997-01-31,50.8644,0.0618,0.05132744984260015,1737.6745,0.09181189330296591,1737.6745,-0.0,-0.0,,50.8644,0.0618,0.04590646751697418,1737.6745,0.08449972499532565,1737.6745,-0.0,-0.0
1,1997-02-28,51.3509,0.0096,,1754.2964,,1754.2964,0.0,0.0,,51.3509,0.0096,,1754.2964,,1754.2964,0.0,0.0
2,1997-03-31,49.0845,-0.0441,,1676.8691,,1754.2964,77.4273,0.0441,,49.0845,-0.0441,,1676.8691,,1754.2964,77.4273,0.0441
3,1997-04-30,52.1574,0.0626,,1781.846,,1781.846,-0.0,-0.0,,52.1574,0.0626,,1781.846,,1781.846,-0.0,-0.0
4,1997-05-30,55.4541,0.0632,,1894.4715,,1894.4715,-0.0,-0.0,,55.4541,0.0632,,1894.4715,,1894.4715,-0.0,-0.0
5,1997-06-30,57.7342,0.0411,,1972.3653,,1972.3653,0.0,0.0,,57.7342,0.0411,,1972.3653,,1972.3653,0.0,0.0
6,1997-07-31,62.3104,0.0793,,2128.7028,,2128.7028,-0.0,-0.0,,62.3104,0.0793,,2128.7028,,2128.7028,-0.0,-0.0
7,1997-08-29,59.0825,-0.0518,,2018.429,,2128.7028,110.2738,0.0518,,59.0825,-0.0518,,2018.429,,2128.7028,110.2738,0.0518
8,1997-09-30,61.9237,0.0481,,2115.4912,,2128.7028,13.2116,0.0062,,61.9237,0.0481,,2115.4912,,2128.7028,13.2116,0.0062
9,1997-10-31,60.4063,-0.0245,,2063.6546,,2128.7028,65.0482,0.0306,,60.4063,-0.0245,,2063.6546,,2128.7028,65.0482,0.0306
10,1997-11-28,62.7439,0.0387,,2143.5109,,2143.5109,-0.0,-0.0,,62.7439,0.0387,,2143.5109,,2143.5109,-0.0,-0.0
11,1997-12-31,63.9421,0.0191,,2184.4453,,2184.4453,0.0,0.0,,63.9421,0.0191,,2184.4453,,2184.4453,0.0,0.0
12,1998-01-30,64.7655,0.0129,,2212.5772,,2212.5772,-0.0,-0.0,,64.7655,0.0129,,2212.5772,,2212.5772,-0.0,-0.0
13,1998-02-27,69.2534,0.0693,,2365.8963,,2365.8963,0.0,0.0,,69.2534,0.0693,,2365.8963,,2365.8963,0.0,0.0
14,1998-03-31,72.6304,0.0488,,2481.262,,2481.262,0.0,0.0,,72.6304,0.0488,,2481.262,,2481.262,0.0,0.0
15,1998-04-30,73.5594,0.0128,,2512.9995,,2512.9995,-0.0,-0.0,,73.5594,0.0128,,2512.9995,,2512.9995,-0.0,-0.0
16,1998-05-29,72.0316,-0.0208,,2460.807,,2512.9995,52.1925,0.0208,,72.0316,-0.0208,,2460.807,,2512.9995,52.1925,0.0208
17,1998-06-30,75.0995,0.0426,,2565.6143,,2565.6143,0.0,0.0,,75.0995,0.0426,,2565.6143,,2565.6143,0.0,0.0
18,1998-07-31,74.0846,-0.0135,,2530.9426,,2565.6143,34.6717,0.0135,,74.0846,-0.0135,,2530.9426,,2565.6143,34.6717,0.0135
19,1998-08-31,63.6254,-0.1412,,2173.6258,,2565.6143,391.9885,0.1528,,63.6254,-0.1412,,2173.6258,,2565.6143,391.9885,0.1528
20,1998-09-30,67.6731,0.0636,,2311.9074,,2565.6143,253.7069,0.0989,,67.6731,0.0,,2173.6258,,2565.6143,391.9885,0.1528
21,1998-10-30,73.1601,0.0811,,2499.3593,,2565.6143,66.255,0.0258,,73.1601,0.0811,,2349.8657,,2565.6143,215.7486,0.0841
22,1998-11-30,77.2338,0.0557,,2638.5282,,2638.5282,-0.0,-0.0,,77.2338,0.0557,,2480.7105,,2565.6143,84.9038,0.0331
23,1998-12-31,82.2853,0.0654,,2811.103,,2811.103,0.0,0.0,,82.2853,0.0654,,2642.9631,,2642.9631,0.0,0.0
24,1999-01-29,85.1838,0.0352,,2910.1244,,2910.1244,0.0,0.0,,85.1838,0.0352,,2736.0618,,2736.0618,0.0,0.0
25,1999-02-26,82.4521,-0.0321,,2816.8021,,2910.1244,93.3223,0.0321,,82.4521,-0.0321,,2648.3213,,2736.0618,87.7405,0.0321
