,Adjusted CAGR,Adj Std Dev,Adj Max DD,Adj SSR,Unadjusted CAGR,Unadj Std Dev,Unadj Max DD,Unadj SSR
0,0.0,,,,0.0,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,0.3829,,4.71863472739642e-05,,0.3829,,4.71863472739642e-05,
13,0.3873,0.0031112698372207804,4.71863472739642e-05,124.48293470616017,0.3873,0.0031112698372207804,4.71863472739642e-05,124.48293470616017
14,0.4112,0.015228591530407535,4.71863472739642e-05,27.00184052996238,0.4112,0.015228591530407535,4.71863472739642e-05,27.00184052996238
15,0.4265,0.02054091445546343,4.71863472739642e-05,20.763437816983867,0.4265,0.02054091445546343,4.71863472739642e-05,20.763437816983867
16,0.4589,0.031057012090669626,4.71863472739642e-05,14.776051175182626,0.4589,0.031057012090669626,4.71863472739642e-05,14.776051175182626
17,0.4717,0.03659084129487414,4.71863472739642e-05,12.891204009186817,0.4717,0.03659084129487414,4.71863472739642e-05,12.891204009186817
18,0.4056,0.03405008216198743,66.13279603214414,11.911865530028019,0.4056,0.03405008216198743,66.13279603214414,11.911865530028019
19,0.4327,0.03181387837317005,66.13279603214414,13.600982405367894,0.4327,0.03181387837317005,66.13279603214414,13.600982405367894
20,0.5127,0.04239867332830121,66.13279603214414,12.092359495073438,0.5127,0.04239867332830121,66.13279603214414,12.092359495073438
21,0.5616,0.05721195387912098,66.13279603214414,9.816130404959848,0.5616,0.05721195387912098,66.13279603214414,9.816130404959848
22,0.6756,0.08817874202694516,66.13279603214414,7.661710571846829,0.6756,0.08817874202694516,66.13279603214414,7.661710571846829
23,0.6366,0.097427829933005,66.13279603214414,6.534067323861672,0.6366,0.097427829933005,66.13279603214414,6.534067323861672
24,0.3182,0.10354615284611385,66.13279603214414,3.0730258078530075,0.3182,0.10354615284611385,66.13279603214414,3.0730258078530075
25,0.3245,0.1066020019192267,66.13279603214414,3.0440328901691416,0.3245,0.1066020019192267,66.13279603214414,3.0440328901691416
26,0.2949,0.11097930609330904,77.42733521497166,2.65725215250539,0.2949,0.11097930609330904,77.42733521497166,2.65725215250539
27,0.3349,0.11080111837582389,77.42733521497166,3.0225326685246983,0.3349,0.11080111837582389,77.42733521497166,3.0225326685246983
28,0.3764,0.10837693990393518,77.42733521497166,3.473063553313456,0.3764,0.10837693990393518,77.42733521497166,3.473063553313456
29,0.4044,0.10540475612788584,77.42733521497166,3.8366390175918452,0.4044,0.10540475612788584,77.42733521497166,3.8366390175918452
30,0.459,0.10259218789724617,77.42733521497166,4.474024868830395,0.459,0.10259218789724617,77.42733521497166,4.474024868830395
31,0.4207,0.09991115671856728,110.2737776226536,4.210740960441888,0.4207,0.09991115671856728,110.2737776226536,4.210740960441888
32,0.4545,0.09747604638601023,110.2737776226536,4.662683980843419,0.4545,0.09747604638601023,110.2737776226536,4.662683980843419
33,0.4365,0.09512701431672212,110.2737776226536,4.588601914348834,0.4365,0.09512701431672212,110.2737776226536,4.588601914348834
34,0.4641,0.09312721822702298,110.2737776226536,4.983505454534567,0.4641,0.09312721822702298,110.2737776226536,4.983505454534567
35,0.478,0.09146358862125552,110.2737776226536,5.22612339189276,0.478,0.09146358862125552,110.2737776226536,5.22612339189276
36,0.3031,0.09355633329711036,110.2737776226536,3.239759290666447,0.3031,0.09355633329711036,110.2737776226536,3.239759290666447
37,0.3325,0.09377350290009351,110.2737776226536,3.5457777486913997,0.3325,0.09377350290009351,110.2737776226536,3.5457777486913997
38,0.3538,0.09309709296185739,110.2737776226536,3.8003334878024027,0.3538,0.09309709296185739,110.2737776226536,3.8003334878024027
39,0.3596,0.0922306563364588,110.2737776226536,3.898920535577388,0.3596,0.0922306563364588,110.2737776226536,3.898920535577388
40,0.3501,0.09160881467472645,110.2737776226536,3.821684640753108,0.3501,0.09160881467472645,110.2737776226536,3.821684640753108
41,0.369,0.09052772516190001,110.2737776226536,4.076099331338321,0.369,0.09052772516190001,110.2737776226536,4.076099331338321
42,0.3628,0.0895953643434076,110.2737776226536,4.049316643319111,0.3628,0.0895953643434076,110.2737776226536,4.049316643319111
43,0.2954,0.09076708178123083,391.988528248683,3.254483830514467,0.2954,0.09076708178123083,391.988528248683,3.254483830514467
44,0.2954,0.09170156739184565,391.988528248683,3.22131898506969,0.3223,0.09075989646764801,391.988528248683,3.5511278939689626
45,0.3295,0.09136733132532429,391.988528248683,3.6063218135022015,0.3571,0.08985898107312865,391.988528248683,3.974004553973146
46,0.3537,0.09048474666014854,391.988528248683,3.9089461268920944,0.3818,0.08865459194124639,391.988528248683,4.306601515384881
47,0.3826,0.08927310385232819,391.988528248683,4.285725302358489,0.4113,0.08737972141341328,391.988528248683,4.707041786664052
48,0.2861,0.09020537528179642,391.988528248683,3.1716513467877054,0.3061,0.08780631480092373,391.988528248683,3.4860818460949665
49,0.2757,0.09133508706650055,391.988528248683,3.0185551780255535,0.2955,0.08845807229849229,391.988528248683,3.340565675033782
50,0.2887,0.09185320382344633,391.988528248683,3.1430585758872227,0.3087,0.0885942530495873,391.988528248683,3.4844246593197954
51,0.3008,0.09192452575834936,391.988528248683,3.27224968003361,0.321,0.08836082548714239,391.988528248683,3.6328316109576133
52,0.2933,0.09212601437373835,391.988528248683,3.1836827197379414,0.3134,0.08826725610326856,391.988528248683,3.5505805191603175
53,0.3108,0.09184876465748297,391.988528248683,3.3838234096998163,0.3312,0.08777160722490622,391.988528248683,3.773429819409962
54,0.3005,0.09176522357037754,391.988528248683,3.274661013270865,0.3207,0.08746414231258538,391.988528248683,3.6666454563043698
55,0.2989,0.09167549590062656,391.988528248683,3.2604132332591744,0.319,0.08716966603430788,391.988528248683,3.659529908884236
56,0.2915,0.0917096787793861,391.988528248683,3.1785085705209277,0.3116,0.08700093938886785,391.988528248683,3.581570523132427
57,0.2915,0.09169661131454124,391.988528248683,3.1789615321779503,0.3321,0.08645311272871031,391.988528248683,3.841388580676431
58,0.2969,0.09153254336020086,391.988528248683,3.2436550881322357,0.3376,0.0858345073670789,391.988528248683,3.9331500856202695
59,0.315,0.09103562070743876,391.988528248683,3.460184019751079,0.3563,0.08503785045871222,391.988528248683,4.189898945916932
60,0.2323,0.09247090000069631,391.988528248683,2.512141657518752,0.2632,0.08598915228809091,391.988528248683,3.060851200372305
61,0.2285,0.09385343815258568,391.988528248683,2.4346470890976604,0.2593,0.08693189051064691,391.988528248683,2.9827949038821653
62,0.2514,0.09444617319601971,391.988528248683,2.661833629597974,0.2828,0.0871737792921612,391.988528248683,3.2440947529899025
63,0.2425,0.09517690385751928,391.988528248683,2.5478870416190964,0.2737,0.08756769792256168,391.988528248683,3.1255817669437858
64,0.2386,0.09591136945639683,391.988528248683,2.4877134103321525,0.2696,0.08799257448220164,391.988528248683,3.063894897796544
65,0.2386,0.09655367489055361,391.988528248683,2.471164357757072,0.2746,0.08824484702154595,391.988528248683,3.1117964308210926
66,0.2347,0.09720574964635456,391.988528248683,2.4144662312040692,0.2706,0.08853212842979528,391.988528248683,3.056517501604877
67,0.2504,0.09743731678006483,391.988528248683,2.5698573018508095,0.2867,0.08846583108455218,391.988528248683,3.2407992609709773
68,0.2364,0.09791132336511325,391.988528248683,2.414429627495277,0.2723,0.08863681864947971,391.988528248683,3.0720867936024274
69,0.2364,0.09832138272659931,391.988528248683,2.404360002313573,0.2711,0.08879173422081986,391.988528248683,3.0532121303745474
70,0.2173,0.09909137017663719,395.8459533990531,2.1929255757857398,0.2516,0.08930318959984587,456.664010325243,2.8173685747102835
71,0.2173,0.09977730032936825,395.8459533990531,2.1778500649214334,0.2503,0.08978072622929649,472.4887261895574,2.7879034901181745
72,0.1781,0.10135659472911451,395.8459533990531,1.7571624271315527,0.2133,0.09108151714276241,472.4887261895574,2.3418582242725563
73,0.1586,0.10333174242504821,650.8483877898993,1.5348623402440027,0.1932,0.09281133312435183,641.0281916035124,2.08164233285114
74,0.1586,0.10512282962685013,650.8483877898993,1.5087112910009692,0.1818,0.09470695755064538,802.6368329678967,1.9196055358739703
75,0.1586,0.10674988642377141,650.8483877898993,1.4857158664356427,0.1981,0.09598991514489327,802.6368329678967,2.0637584656781423
76,0.1575,0.10825819901442178,664.4045937935534,1.454855165094871,0.197,0.0971834043040034,802.6368329678967,2.027095072567701
77,0.1575,0.10963197499691839,664.4045937935534,1.436624670899408,0.1922,0.09838490981947627,802.6368329678967,1.9535516203924204
78,0.1575,0.1108843133621545,664.4045937935534,1.4203992902548443,0.1901,0.09952945917102393,802.6368329678967,1.9099872699332814
79,0.1575,0.11202665307275342,664.4045937935534,1.4059154288731168,0.1781,0.1008571029481859,854.3695222532888,1.7658647214118048
80,0.1575,0.11306904231075258,664.4045937935534,1.3929542232005103,0.1615,0.10247965539472197,1072.4739432860256,1.5759225514366608
81,0.1575,0.11402035404543333,664.4045937935534,1.38133231841432,0.164,0.10390488130101518,1072.4739432860256,1.578366655603866
82,0.1721,0.11460547075757505,664.4045937935534,1.5016735140335764,0.1786,0.10488525148884982,1072.4739432860256,1.7028132884725617
83,0.1731,0.11511541033925189,664.4045937935534,1.5037083175038348,0.1797,0.10576019912192801,1072.4739432860256,1.6991269068322086
84,0.1451,0.11610166767726865,664.4045937935534,1.2497667165586193,0.1506,0.1071900639683848,1072.4739432860256,1.404980969546009
85,0.1451,0.11700600048058878,664.4045937935534,1.2401073398288835,0.1476,0.10857427583375762,1072.4739432860256,1.3594380332409146
86,0.1504,0.117735441907189,664.4045937935534,1.2774403150290166,0.153,0.10973267640165471,1072.4739432860256,1.3942975330335863
87,0.1406,0.11858290166236728,664.4045937935534,1.185668406060095,0.1432,0.11100767686429176,1072.4739432860256,1.2900008724177134
88,0.1406,0.11936093917362627,664.4045937935534,1.1779397931468913,0.1422,0.11220571959535368,1072.4739432860256,1.2673150754953881
89,0.1406,0.12007492081359705,664.4045937935534,1.1709356045986143,0.1298,0.11357275452075014,1178.3848647325708,1.1428797386109455
90,0.1406,0.12072969568014244,664.4045937935534,1.1645850609323272,0.1166,0.11512262033059312,1363.5371955231194,1.0128330962686947
91,0.1406,0.12132965810191085,664.4045937935534,1.158826310067593,0.1177,0.11653485961182104,1363.5371955231194,1.0099982133419996
