,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,2010-01-29,86.265,-0.0363,0.03750810725922453,2947.0616,0.16197015931530423,4029.6895,1082.6279,0.2687,,86.265,-0.0363,0.02916325565203564,4131.4301,0.14257527338268505,4311.6726,180.2425,0.0418
1,2010-02-26,88.956,0.0312,,3038.9943,,4029.6895,990.6952,0.2458,,88.956,0.0312,,4260.3088,,4311.6726,51.3638,0.0119
2,2010-03-31,94.3739,0.0609,,3224.085,,4029.6895,805.6045,0.1999,,94.3739,0.0609,,4519.784,,4519.784,0.0,0.0
3,2010-04-30,95.8339,0.0155,,3273.9618,,4029.6895,755.7277,0.1875,,95.8339,0.0155,,4589.7054,,4589.7054,-0.0,-0.0
4,2010-05-31,88.2195,-0.0795,,3013.8305,,4029.6895,1015.859,0.2521,,88.2195,-0.0795,,4225.0323,,4589.7054,364.6731,0.0795
5,2010-06-30,83.6547,-0.0517,,2857.8844,,4029.6895,1171.8051,0.2908,,83.6547,0.0,,4225.0323,,4589.7054,364.6731,0.0795
6,2010-07-30,89.3683,0.0683,,3053.08,,4029.6895,976.6095,0.2424,,89.3683,0.0,,4225.0323,,4589.7054,364.6731,0.0795
7,2010-08-31,85.3485,-0.045,,2915.7509,,4029.6895,1113.9386,0.2764,,85.3485,-0.045,,4034.9882,,4589.7054,554.7172,0.1209
8,2010-09-30,92.9918,0.0896,,3176.8674,,4029.6895,852.8221,0.2116,,92.9918,0.0,,4034.9882,,4589.7054,554.7172,0.1209
9,2010-10-29,96.5443,0.0382,,3298.2303,,4029.6895,731.4592,0.1815,,96.5443,0.0382,,4189.133,,4589.7054,400.5724,0.0873
10,2010-11-30,96.5443,0.0,,3298.2303,,4029.6895,731.4592,0.1815,,96.5443,0.0,,4189.133,,4589.7054,400.5724,0.0873
11,2010-12-31,102.9977,0.0668,,3518.698,,4029.6895,510.9915,0.1268,,102.9977,0.0668,,4469.1524,,4589.7054,120.553,0.0263
12,2011-01-31,105.3976,0.0233,,3600.6844,,4029.6895,429.0051,0.1065,,105.3976,0.0233,,4573.2846,,4589.7054,16.4208,0.0036
13,2011-02-28,109.0588,0.0347,,3725.7625,,4029.6895,303.927,0.0754,,109.0588,0.0347,,4732.1483,,4732.1483,0.0,0.0
14,2011-03-31,109.0705,0.0001,,3726.1609,,4029.6895,303.5286,0.0753,,109.0705,0.0001,,4732.6543,,4732.6543,-0.0,-0.0
15,2011-04-29,112.2293,0.029,,3834.076,,4029.6895,195.6135,0.0485,,112.2293,0.029,,4869.7189,,4869.7189,-0.0,-0.0
16,2011-05-31,110.9707,-0.0112,,3791.0786,,4029.6895,238.6109,0.0592,,110.9707,-0.0112,,4815.1072,,4869.7189,54.6117,0.0112
17,2011-06-30,109.0967,-0.0169,,3727.0581,,4029.6895,302.6314,0.0751,,109.0967,-0.0169,,4733.7938,,4869.7189,135.9251,0.0279
18,2011-07-29,106.9143,-0.02,,3652.5,,4029.6895,377.1895,0.0936,,106.9143,-0.02,,4639.0964,,4869.7189,230.6225,0.0474
19,2011-08-31,101.0366,-0.055,,3451.7015,,4029.6895,577.988,0.1434,,101.0366,0.0,,4639.0964,,4869.7189,230.6225,0.0474
20,2011-09-30,94.0197,-0.0694,,3211.9833,,4029.6895,817.7062,0.2029,,94.0197,0.0,,4639.0964,,4869.7189,230.6225,0.0474
21,2011-10-31,104.2817,0.1091,,3562.5621,,4029.6895,467.1274,0.1159,,104.2817,0.0,,4639.0964,,4869.7189,230.6225,0.0474
22,2011-11-30,103.8579,-0.0041,,3548.0848,,4029.6895,481.6047,0.1195,,103.8579,-0.0041,,4620.2443,,4869.7189,249.4746,0.0512
23,2011-12-30,104.9422,0.0104,,3585.1268,,4029.6895,444.5627,0.1103,,104.9422,0.0,,4620.2443,,4869.7189,249.4746,0.0512
24,2012-01-31,109.8088,0.0464,,3751.3852,,4029.6895,278.3043,0.0691,,109.8088,0.0464,,4834.5059,,4869.7189,35.213,0.0072
25,2012-02-29,114.5751,0.0434,,3914.2157,,4029.6895,115.4738,0.0287,,114.5751,0.0434,,5044.3496,,5044.3496,-0.0,-0.0
