,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
0,1995-01-31,29.2715,,0.04334676696458991,1000.0,0.10249949333071262,0.0,-1000.0,-inf
1,1995-02-28,30.4661,0.0408,,1040.8101,,1040.8101,1.2875376114607207e-05,1.2370533409127378e-08
2,1995-03-31,31.3145,0.0278,,1069.7923,,1069.7923,-1.0671178415577742e-05,-9.975000208524348e-09
3,1995-04-28,32.2421,0.0296,,1101.4831,,1101.4831,4.913656493954477e-05,4.4609458773852066e-08
4,1995-05-31,33.5213,0.0397,,1145.1826,,1145.1826,-3.9256953186850296e-05,-3.428008178507977e-08
5,1995-06-30,34.1989,0.0202,,1168.3332,,1168.3332,3.8614678487647325e-05,3.305108378983609e-08
6,1995-07-31,35.2989,0.0322,,1205.9131,,1205.9131,-2.5292251848441083e-05,-2.0973527734661048e-08
7,1995-08-31,35.4561,0.0045,,1211.2817,,1211.2817,8.434841674898053e-06,6.963567331115505e-09
8,1995-09-29,36.9588,0.0424,,1262.6183,,1262.6183,3.5540815588319674e-05,2.814850346167141e-08
9,1995-10-31,36.8502,-0.0029,,1258.9093,,1262.6183,3.7090063041384838,0.0029375515182525737
10,1995-11-30,38.4893,0.0445,,1314.9047,,1314.9047,-1.5519649650741485e-05,-1.1802870315043732e-08
11,1995-12-29,39.0884,0.0156,,1335.3738,,1335.3738,2.7428302018961404e-05,2.0539793441328115e-08
12,1996-01-31,40.4791,0.0356,,1382.884,,1382.884,4.71863472739642e-05,3.4121695871789826e-08
13,1996-02-29,40.6083,0.0032,,1387.2973,,1387.2973,3.695268469527946e-05,2.6636456868530962e-08
14,1996-03-29,41.3079,0.0172,,1411.198,,1411.198,4.420668028615182e-05,3.132563983661529e-08
15,1996-04-30,41.7569,0.0109,,1426.5366,,1426.5366,3.774799847633403e-05,2.6461289865492436e-08
16,1996-05-31,42.7048,0.0227,,1458.9196,,1458.9196,-2.579784063527768e-05,-1.7682839160758196e-08
17,1996-06-28,43.0795,0.0088,,1471.721,,1471.721,1.235146078215621e-05,8.392528734832355e-09
18,1996-07-31,41.1437,-0.0449,,1405.5882,,1471.721,66.13279603214414,0.04493568823992057
19,1996-08-30,41.9361,0.0193,,1432.659,,1471.721,39.06203575090785,0.026541739739330928
20,1996-09-30,44.2784,0.0559,,1512.677,,1512.677,8.243524689532933e-06,5.449626516125342e-09
21,1996-10-31,45.7099,0.0323,,1561.583,,1561.583,4.24360046054062e-05,2.7174991406416563e-08
22,1996-11-29,49.047,0.073,,1675.5855,,1675.5855,4.047519860250759e-05,2.4155853940313755e-08
23,1996-12-31,47.9046,-0.0233,,1636.5583,,1675.5855,39.02722723733018,0.02329169549231011
24,1997-01-31,50.8644,0.0618,,1737.6745,,1737.6745,-1.4538118875861983e-05,-8.36642240872038e-09
25,1997-02-28,51.3509,0.0096,,1754.2964,,1754.2964,3.7499074096558616e-05,2.137556350030623e-08
26,1997-03-31,49.0845,-0.0441,,1676.8691,,1754.2964,77.42733521497166,0.04413583429514629
27,1997-04-30,52.1574,0.0626,,1781.846,,1781.846,-7.080217528709909e-06,-3.9735294344796965e-09
28,1997-05-30,55.4541,0.0632,,1894.4715,,1894.4715,-4.12816359585122e-05,-2.1790581678590677e-08
29,1997-06-30,57.7342,0.0411,,1972.3653,,1972.3653,1.0499959671506076e-05,5.3235370098561745e-09
30,1997-07-31,62.3104,0.0793,,2128.7028,,2128.7028,-7.13957115294761e-06,-3.3539539446030746e-09
31,1997-08-29,59.0825,-0.0518,,2018.429,,2128.7028,110.2737776226536,0.0518032755078133
32,1997-09-30,61.9237,0.0481,,2115.4912,,2128.7028,13.211639074178038,0.006206427254278069
33,1997-10-31,60.4063,-0.0245,,2063.6546,,2128.7028,65.04817745550417,0.030557660494224075
34,1997-11-28,62.7439,0.0387,,2143.5109,,2143.5109,-1.1401660685805837e-05,-5.319152184299989e-09
35,1997-12-31,63.9421,0.0191,,2184.4453,,2184.4453,3.611775900935754e-05,1.65340642813796e-08
36,1998-01-30,64.7655,0.0129,,2212.5772,,2212.5772,-5.465720732900081e-06,-2.4702960569692577e-09
37,1998-02-27,69.2534,0.0693,,2365.8963,,2365.8963,1.2912340480397688e-05,5.45769503101116e-09
38,1998-03-31,72.6304,0.0488,,2481.262,,2481.262,1.2459103345463518e-05,5.021276812147817e-09
39,1998-04-30,73.5594,0.0128,,2512.9995,,2512.9995,-3.521672624628991e-06,-1.4013821429845055e-09
40,1998-05-29,72.0316,-0.0208,,2460.807,,2512.9995,52.192545389107636,0.02076902338783101
41,1998-06-30,75.0995,0.0426,,2565.6143,,2565.6143,2.6441277896083193e-05,1.030602218583019e-08
42,1998-07-31,74.0846,-0.0135,,2530.9426,,2565.6143,34.67168962201913,0.013513991414071527
43,1998-08-31,63.6254,-0.1412,,2173.6258,,2565.6143,391.988528248683,0.15278544723136403
