,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,2002-01-31,78.1406,-0.0098,0.03551786595869587,2669.5065,0.06413579369983413,3527.4472,857.9407,0.2432,,78.1406,-0.0098,0.02985981749048329,2581.3037,0.08590107788588508,3069.1754,487.8717,0.159
1,2002-02-28,76.739,-0.0179,,2621.6262,,3527.4472,905.821,0.2568,,76.739,0.0,,2581.3037,,3069.1754,487.8717,0.159
2,2002-03-29,79.29,0.0332,,2708.7763,,3527.4472,818.6709,0.2321,,79.29,0.0332,,2667.1133,,3069.1754,402.0621,0.131
3,2002-04-30,74.6789,-0.0582,,2551.2454,,3527.4472,976.2018,0.2767,,74.6789,-0.0582,,2512.0053,,3069.1754,557.1701,0.1815
4,2002-05-31,74.2358,-0.0059,,2536.1072,,3527.4472,991.34,0.281,,74.2358,0.0,,2512.0053,,3069.1754,557.1701,0.1815
5,2002-06-28,68.7607,-0.0738,,2349.0623,,3527.4472,1178.3849,0.3341,,68.7607,0.0,,2512.0053,,3069.1754,557.1701,0.1815
6,2002-07-31,63.341,-0.0788,,2163.91,,3527.4472,1363.5372,0.3866,,63.341,0.0,,2512.0053,,3069.1754,557.1701,0.1815
7,2002-08-30,63.7718,0.0068,,2178.6271,,3527.4472,1348.8201,0.3824,,63.7718,0.0,,2512.0053,,3069.1754,557.1701,0.1815
8,2002-09-30,57.0851,-0.1049,,1950.1924,,3527.4472,1577.2548,0.4471,,57.0851,-0.1049,,2248.615,,3069.1754,820.5604,0.2674
9,2002-10-31,61.7823,0.0823,,2110.6617,,3527.4472,1416.7855,0.4016,,61.7823,0.0,,2248.615,,3069.1754,820.5604,0.2674
10,2002-11-29,65.5931,0.0617,,2240.8495,,3527.4472,1286.5977,0.3647,,65.5931,0.0617,,2387.3119,,3069.1754,681.8635,0.2222
11,2002-12-31,61.8782,-0.0566,,2113.936,,3527.4472,1413.5112,0.4007,,61.8782,-0.0566,,2252.1033,,3069.1754,817.0721,0.2662
12,2003-01-31,60.3563,-0.0246,,2061.944,,3527.4472,1465.5032,0.4155,,60.3563,0.0,,2252.1033,,3069.1754,817.0721,0.2662
13,2003-02-28,59.5427,-0.0135,,2034.1512,,3527.4472,1493.296,0.4233,,59.5427,0.0,,2252.1033,,3069.1754,817.0721,0.2662
14,2003-03-31,59.6654,0.0021,,2038.3416,,3527.4472,1489.1056,0.4221,,59.6654,0.0021,,2256.7426,,3069.1754,812.4328,0.2647
15,2003-04-30,64.7138,0.0846,,2210.8094,,3527.4472,1316.6378,0.3733,,64.7138,0.0846,,2447.6897,,3069.1754,621.4857,0.2025
16,2003-05-30,68.2624,0.0548,,2332.0417,,3527.4472,1195.4055,0.3389,,68.2624,0.0548,,2581.9116,,3069.1754,487.2638,0.1588
