,date,adjClose,1 Month Change,5 Month Change,Unadjusted Equity,In Market?,Adjusted Equity,Adjusted CAGR,Unadjusted CAGR,Max Unadjusted,Max Adjusted,DD Unadjusted,DD Unadjusted Percentage,DD Adjusted,Sharpe Ratio,DD Adjusted Percentage
17,1996-06-28,43.0795,0.0088,0.0642,1471.721,True,1471.721,0.4717,0.4717,1471.721,1471.721,1.235146078215621e-05,8.392528734832355e-09,1.235146078215621e-05,,8.392528734832355e-09
18,1996-07-31,41.1437,-0.0449,0.0132,1405.5882,True,1405.5882,0.4056,0.4056,1471.721,1471.721,66.13279603214414,0.04493568823992057,66.13279603214414,,0.04493568823992057
19,1996-08-30,41.9361,0.0193,0.0152,1432.659,True,1432.659,0.4327,0.4327,1471.721,1471.721,39.06203575090785,0.026541739739330928,39.06203575090785,,0.026541739739330928
20,1996-09-30,44.2784,0.0559,0.0604,1512.677,True,1512.677,0.5127,0.5127,1512.677,1512.677,8.243524689532933e-06,5.449626516125342e-09,8.243524689532933e-06,,5.449626516125342e-09
21,1996-10-31,45.7099,0.0323,0.0704,1561.583,True,1561.583,0.5616,0.5616,1561.583,1561.583,4.24360046054062e-05,2.7174991406416563e-08,4.24360046054062e-05,,2.7174991406416563e-08
22,1996-11-29,49.047,0.073,0.1385,1675.5855,True,1675.5855,0.6756,0.6756,1675.5855,1675.5855,4.047519860250759e-05,2.4155853940313755e-08,4.047519860250759e-05,,2.4155853940313755e-08
23,1996-12-31,47.9046,-0.0233,0.1643,1636.5583,True,1636.5583,0.6366,0.6366,1675.5855,1675.5855,39.02722723733018,0.02329169549231011,39.02722723733018,,0.02329169549231011
24,1997-01-31,50.8644,0.0618,0.2129,1737.6745,True,1737.6745,0.3182,0.3182,1737.6745,1737.6745,-1.4538118875861983e-05,-8.36642240872038e-09,-1.4538118875861983e-05,,-8.36642240872038e-09
25,1997-02-28,51.3509,0.0096,0.1597,1754.2964,True,1754.2964,0.3245,0.3245,1754.2964,1754.2964,3.7499074096558616e-05,2.137556350030623e-08,3.7499074096558616e-05,,2.137556350030623e-08
26,1997-03-31,49.0845,-0.0441,0.0738,1676.8691,True,1676.8691,0.2949,0.2949,1754.2964,1754.2964,77.42733521497166,0.04413583429514629,77.42733521497166,,0.04413583429514629
27,1997-04-30,52.1574,0.0626,0.0634,1781.846,True,1781.846,0.3349,0.3349,1781.846,1781.846,-7.080217528709909e-06,-3.9735294344796965e-09,-7.080217528709909e-06,,-3.9735294344796965e-09
28,1997-05-30,55.4541,0.0632,0.1576,1894.4715,True,1894.4715,0.3764,0.3764,1894.4715,1894.4715,-4.12816359585122e-05,-2.1790581678590677e-08,-4.12816359585122e-05,,-2.1790581678590677e-08
29,1997-06-30,57.7342,0.0411,0.1351,1972.3653,True,1972.3653,0.4044,0.4044,1972.3653,1972.3653,1.0499959671506076e-05,5.3235370098561745e-09,1.0499959671506076e-05,,5.3235370098561745e-09
30,1997-07-31,62.3104,0.0793,0.2134,2128.7028,True,2128.7028,0.459,0.459,2128.7028,2128.7028,-7.13957115294761e-06,-3.3539539446030746e-09,-7.13957115294761e-06,,-3.3539539446030746e-09
31,1997-08-29,59.0825,-0.0518,0.2037,2018.429,True,2018.429,0.4207,0.4207,2128.7028,2128.7028,110.2737776226536,0.0518032755078133,110.2737776226536,,0.0518032755078133
32,1997-09-30,61.9237,0.0481,0.1872,2115.4912,True,2115.4912,0.4545,0.4545,2128.7028,2128.7028,13.211639074178038,0.006206427254278069,13.211639074178038,,0.006206427254278069
33,1997-10-31,60.4063,-0.0245,0.0893,2063.6546,True,2063.6546,0.4365,0.4365,2128.7028,2128.7028,65.04817745550417,0.030557660494224075,65.04817745550417,,0.030557660494224075
34,1997-11-28,62.7439,0.0387,0.0868,2143.5109,True,2143.5109,0.4641,0.4641,2143.5109,2143.5109,-1.1401660685805837e-05,-5.319152184299989e-09,-1.1401660685805837e-05,,-5.319152184299989e-09
