,date,Adjusted Close,1 Month Change,Monthly Change Std,Adjusted Equity,Adjusted CAGR,Max Equity,Dropdown,DD Percentage
0,1995-01-31,29.2715,,0.036307610391586864,1000.0,0.10472565009505752,0.0,-1000.0,-inf
1,1995-02-28,30.4661,0.0408,,1040.8101,,1040.8101,1.2875376114607207e-05,1.2370533409127378e-08
2,1995-03-31,31.3145,0.0278,,1069.7923,,1069.7923,-1.0671178415577742e-05,-9.975000208524348e-09
3,1995-04-28,32.2421,0.0296,,1101.4831,,1101.4831,4.913656493954477e-05,4.4609458773852066e-08
4,1995-05-31,33.5213,0.0397,,1145.1826,,1145.1826,-3.9256953186850296e-05,-3.428008178507977e-08
5,1995-06-30,34.1989,0.0202,,1168.3332,,1168.3332,3.8614678487647325e-05,3.305108378983609e-08
6,1995-07-31,35.2989,0.0322,,1205.9131,,1205.9131,-2.5292251848441083e-05,-2.0973527734661048e-08
7,1995-08-31,35.4561,0.0045,,1211.2817,,1211.2817,8.434841674898053e-06,6.963567331115505e-09
8,1995-09-29,36.9588,0.0424,,1262.6183,,1262.6183,3.5540815588319674e-05,2.814850346167141e-08
9,1995-10-31,36.8502,-0.0029,,1258.9093,,1262.6183,3.7090063041384838,0.0029375515182525737
10,1995-11-30,38.4893,0.0445,,1314.9047,,1314.9047,-1.5519649650741485e-05,-1.1802870315043732e-08
11,1995-12-29,39.0884,0.0156,,1335.3738,,1335.3738,2.7428302018961404e-05,2.0539793441328115e-08
12,1996-01-31,40.4791,0.0356,,1382.884,,1382.884,4.71863472739642e-05,3.4121695871789826e-08
13,1996-02-29,40.6083,0.0032,,1387.2973,,1387.2973,3.695268469527946e-05,2.6636456868530962e-08
14,1996-03-29,41.3079,0.0172,,1411.198,,1411.198,4.420668028615182e-05,3.132563983661529e-08
15,1996-04-30,41.7569,0.0109,,1426.5366,,1426.5366,3.774799847633403e-05,2.6461289865492436e-08
16,1996-05-31,42.7048,0.0227,,1458.9196,,1458.9196,-2.579784063527768e-05,-1.7682839160758196e-08
17,1996-06-28,43.0795,0.0088,,1471.721,,1471.721,1.235146078215621e-05,8.392528734832355e-09
18,1996-07-31,41.1437,-0.0449,,1405.5882,,1471.721,66.13279603214414,0.04493568823992057
19,1996-08-30,41.9361,0.0193,,1432.659,,1471.721,39.06203575090785,0.026541739739330928
20,1996-09-30,44.2784,0.0559,,1512.677,,1512.677,8.243524689532933e-06,5.449626516125342e-09
